title,link,published
8 stocks with rising EPS over four quarters Are you missing out,https://economictimes.indiatimes.com/markets/stocks/news/8-stocks-with-rising-eps-over-four-quarters-are-you-missing-out/slideshow/125160239.cms,"Fri, 07 Nov 2025 17:29:43 +0530"
Nalco Q2 Results Profit rises 37 to Rs 1430 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/nalco-q2-results-profit-rises-37-to-rs-1430-crore/articleshow/125159959.cms,"Fri, 07 Nov 2025 17:26:31 +0530"
Bajaj Auto Q2 Results Cons PAT soars 53 YoY to Rs 2122 crore revenue rises 19,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-auto-q2-results-cons-pat-soars-53-yoy-to-rs-2122-crore-revenue-rises-19/articleshow/125159539.cms,"Fri, 07 Nov 2025 17:14:35 +0530"
Trent Q2 Results Profit rises 11 YoY to Rs 377 crore revenue up 16,https://economictimes.indiatimes.com/markets/stocks/earnings/trent-q2-results-profit-rises-11-yoy-to-rs-377-crore-revenue-up-16/articleshow/125159074.cms,"Fri, 07 Nov 2025 17:00:16 +0530"
Smartworks reports 21 growth in revenue during Q2FY26,https://economictimes.indiatimes.com/markets/stocks/earnings/smartworks-reports-21-growth-in-revenue-during-q2fy26/articleshow/125159233.cms,"Fri, 07 Nov 2025 17:00:09 +0530"
Gainers amp Losers BSE Vodafone and Ola among 7 stocks that hogged limelight on Friday,https://economictimes.indiatimes.com/markets/stocks/news/gainers-losers-bse-vodafone-and-ola-among-7-stocks-that-hogged-limelight-on-friday/slideshow/125158394.cms,"Fri, 07 Nov 2025 16:28:39 +0530"
Swiggy approves Rs 10000 crore fundraise as quickcommerce battle with Zepto and Blinkit heats up,https://economictimes.indiatimes.com/markets/stocks/news/swiggy-board-approves-plans-to-raise-rs-10000-crore-via-qip/articleshow/125158184.cms,"Fri, 07 Nov 2025 16:20:32 +0530"
Nykaa Q2 Results Cons PAT skyrockets 243 YoY to Rs 34 crore revenue jumps 25,https://economictimes.indiatimes.com/markets/stocks/earnings/nykaa-q2-results-cons-pat-skyrockets-243-yoy-to-rs-34-crore-revenue-jumps-by-25/articleshow/125157804.cms,"Fri, 07 Nov 2025 16:11:09 +0530"
AU Small Finance UPL among 7 stocks that hit 52week highs gained up to 22 in a month,https://economictimes.indiatimes.com/markets/stocks/news/au-small-finance-upl-among-7-stocks-that-hit-52-week-highs-gained-up-to-22-in-a-month/slideshow/125157896.cms,"Fri, 07 Nov 2025 16:07:05 +0530"
Triveni Engineering Q2 Results Net loss narrows to Rs 2138 crore revenue sees upstick,https://economictimes.indiatimes.com/markets/stocks/earnings/triveni-engineering-q2-results-net-loss-narrows-to-rs-21-38-crore-revenue-sees-upstick/articleshow/125157549.cms,"Fri, 07 Nov 2025 15:59:45 +0530"
Fab 7 isnt a bubble Ansid Capitals Anurag Singh says big tech still has legs but India needs a year of cooling off,https://economictimes.indiatimes.com/markets/stocks/news/fab-7-isnt-a-bubble-ansid-capitals-anurag-singh-says-big-tech-still-has-legs-but-india-needs-a-year-of-cooling-off/articleshow/125157325.cms,"Fri, 07 Nov 2025 15:58:52 +0530"
Market Wrap Sensex slips 01 Nifty holds below 25500 as DSt pares sharp intraday losses but end week lower,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-slips-0-1-nifty-holds-below-25500-as-d-st-pares-sharp-intraday-losses-but-end-week-lower/articleshow/125156965.cms,"Fri, 07 Nov 2025 15:47:52 +0530"
BSE other capital market stocks zoom up to 11 on supportive FampO commentary by FM SEBI chairman,https://economictimes.indiatimes.com/markets/stocks/news/bse-other-capital-market-stocks-zoom-up-to-11-on-supportive-fo-commentary-by-fm-sebi-chairman/articleshow/125156679.cms,"Fri, 07 Nov 2025 15:29:11 +0530"
Shedding market myopia Excessive QoQ focus can make you miss some multibaggers says Gurmeet Chadha,https://economictimes.indiatimes.com/markets/stocks/news/shedding-market-myopia-excessive-qoq-focus-can-make-you-miss-some-multibaggers-says-gurmeet-chadha/articleshow/125156085.cms,"Fri, 07 Nov 2025 15:06:13 +0530"
NSEs longterm trajectory intact FampO tightening key risk Motilal Oswal,https://economictimes.indiatimes.com/markets/stocks/news/nses-long-term-trajectory-intact-fo-tightening-key-risk-motilal-oswal/articleshow/125155277.cms,"Fri, 07 Nov 2025 14:32:37 +0530"
Europes STOXX 600 steady after volatile week ITV soars,https://economictimes.indiatimes.com/markets/stocks/news/europes-stoxx-600-steady-after-volatile-week-itv-soars/articleshow/125155150.cms,"Fri, 07 Nov 2025 14:27:15 +0530"
Brokerages reaffirm bullish outlook on Paytm cite profitability momentum AIled growth,https://economictimes.indiatimes.com/markets/stocks/news/brokerages-reaffirm-bullish-outlook-on-paytm-cite-profitability-momentum-ai-led-growth/articleshow/125155079.cms,"Fri, 07 Nov 2025 14:24:16 +0530"
10 highgrowth highmargin stocks surged up to 97 in a year Are you in or out,https://economictimes.indiatimes.com/markets/stocks/news/10-high-growth-high-margin-stocks-surged-up-to-97-in-a-year-are-you-in-or-out/slideshow/125155189.cms,"Fri, 07 Nov 2025 14:20:00 +0530"
Hindalco Q2 Results Cons profit jumps 21 YoY to Rs 4741 crore revenue up 13,https://economictimes.indiatimes.com/markets/stocks/earnings/hindalco-q2-results-cons-profit-jumps-21-yoy-to-rs-4741-crore-revenue-up-13/articleshow/125154351.cms,"Fri, 07 Nov 2025 13:56:29 +0530"
SEBI to comprehensively review short selling and SLBM frameworks Tuhin Kanta Pandey,https://economictimes.indiatimes.com/markets/stocks/news/sebi-to-comprehensively-review-short-selling-and-slbm-frameworks-tuhin-kanta-pandey/articleshow/125152933.cms,"Fri, 07 Nov 2025 13:02:35 +0530"
Japans Nikkei suffers worst week since April as AI shares sell off,https://economictimes.indiatimes.com/markets/stocks/news/japans-nikkei-suffers-worst-week-since-april-as-ai-shares-sell-off/articleshow/125152633.cms,"Fri, 07 Nov 2025 12:44:05 +0530"
Divis Laboratories Q2 Results Cons profit jumps 35 YoY to Rs 689 crore revenue up 16,https://economictimes.indiatimes.com/markets/stocks/earnings/divis-laboratories-q2-results-cons-profit-jumps-35-yoy-to-rs-689-crore-revenue-up-16/articleshow/125151857.cms,"Fri, 07 Nov 2025 12:21:04 +0530"
Citi sees 51 growth potential in Vodafone Idea shares drives stock 5 high Heres why,https://economictimes.indiatimes.com/markets/stocks/news/citi-sees-51-growth-potential-in-vodafone-idea-shares-drives-stock-5-high-heres-why/articleshow/125151788.cms,"Fri, 07 Nov 2025 12:11:39 +0530"
Lupin shares jump 2 as Q2 PAT soars 73 YoY to Rs 1485 crore,https://economictimes.indiatimes.com/markets/stocks/news/lupin-shares-jump-2-as-q2-pat-soars-73-yoy-to-rs-1485-crore/articleshow/125151551.cms,"Fri, 07 Nov 2025 11:56:07 +0530"
Sebi flags 1 lakh social media posts for misleading content says unregulated influencers pose direct risk,https://economictimes.indiatimes.com/markets/stocks/news/sebi-flags-1-lakh-social-media-posts-for-misleading-content-says-unregulated-influencers-pose-direct-risk/articleshow/125151291.cms,"Fri, 07 Nov 2025 11:44:40 +0530"
LICs margins surprises street JM Financial sees strong H2 maintains Buy on stock with Rs 1111 target,https://economictimes.indiatimes.com/markets/stocks/news/lics-margins-surprises-street-jm-financial-sees-strong-h2-maintains-buy-on-stock-with-rs-1111-target/articleshow/125150855.cms,"Fri, 07 Nov 2025 11:19:22 +0530"
