Date,avg_sentiment,percent_negative,investment_advice
2025-09-26,-0.6474531584069313,83.33333333333334,NOT GOOD TO INVEST
2025-09-27,-0.3929892299622943,64.28571428571429,NOT GOOD TO INVEST
2025-09-28,-0.3584883485696124,50.0,NOT GOOD TO INVEST
